Note Name,Parent Node,Category,Connections,Description
Training governance board or council structures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Structure & Reporting,"""[[Council]], [[Governance]], [[Strategy]]""","""Higher-level body defining long-term L&D direction."""
Strategic plan alignment requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Alignment]], [[Strategy]], [[Planning Phase]]""","""Mandate to link training objectives to organizational goals."""
Business case justification criteria and templates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Business Case]], [[Justification]], [[Planning Phase]]""","""Required format for proposing new training investments."""
ROI/value demonstration mandates and methodologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[ROI]], [[Measurement]], [[Evaluation Phase]]""","""Policy requiring evidence of training's financial impact."""
Priority-setting frameworks and scoring criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Prioritization]], [[Scoring]], [[Planning Phase]]""","""Numerical systems for ranking training project importance."""
Portfolio management rules and capacity allocation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Portfolio]], [[Capacity]], [[Ops]]""","""Rules for balancing active projects against available resources."""
Strategic initiative linkage requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Strategy]], [[Initiatives]], [[Planning Phase]]""","""Explicit connection between L&D and key corporate initiatives."""
Competitive advantage and differentiation considerations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Strategic Alignment & Prioritization,"""[[Competitive Advantage]], [[Differentiation]], [[Strategy]]""","""Using training as a unique value proposition for the business."""
Business unit specific training jurisdiction rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[Jurisdiction]], [[Business Unit]], [[Governance]]""","""Rules defining where corporate L&D ends and local training begins."""
Geographic or regional training authority boundaries,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[Global]], [[Regional]], [[Governance]]""","""Limits on training authority based on physical location."""
Product line or service area training ownership,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[Product Training]], [[Ownership]], [[Governance]]""","""Policy designating which department owns technical product training."""
Customer-facing vs. internal training distinctions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[Customer Ed]], [[Internal Training]], [[Governance]]""","""Jurisdictional split between employee dev and customer success."""
Regulatory vs. developmental training governance separation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[Compliance]], [[Development]], [[Governance]]""","""Delineation between mandatory compliance and optional skill training."""
M&A integration training authority during transitions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Organizational Boundaries & Scope,"""[[M&A]], [[Integration]], [[Governance]]""","""Governance of training during company mergers or acquisitions."""
Budget cycle alignment requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Budget Cycle]], [[Fiscal]], [[Planning Phase]]""","""Mandate to synchronize training spending with the fiscal year."""
Multi-year vs. annual budget planning horizons,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Planning Horizon]], [[Budget]], [[Strategy]]""","""Policy governing long-term vs. short-term L&D funding."""
Cost center assignments and chargebacks methodologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Cost Center]], [[Chargebacks]], [[Finance]]""","""Accounting rules for internal training billing."""
Capital vs. operational expense classifications,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[CapEx]], [[OpEx]], [[Finance]]""","""Policy defining what training assets are depreciable."""
Budget reallocation limitations and approval requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Reallocation]], [[Budget]], [[Governance]]""","""Controls on moving funds between different training projects."""
Reserve fund or contingency allocation rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Contingency]], [[Reserve]], [[Risk]]""","""Management of ""rainy day"" training funds."""
Zero-based vs. incremental budgeting mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Zero-Based]], [[Budgeting]], [[Finance]]""","""Specific fiscal methodology for annual training planning."""
Budget variance tolerance thresholds and reporting,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Budget Management & Planning,"""[[Variance]], [[Reporting]], [[Finance]]""","""Limits on how much training can go over/under budget."""
Direct vs. indirect cost allocation methodologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Cost Allocation]], [[Direct Cost]], [[Finance]]""","""Standard for attributing training overhead."""
Learner cost recovery or chargeback models,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Chargeback]], [[Learner Cost]], [[Finance]]""","""Mechanisms for departments to ""pay"" for their learners."""
Cross-subsidization policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Subsidization]], [[Finance]], [[Ops]]""","""Using profitable training programs to fund necessary losses."""
Overhead rate calculations and applications,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Overhead]], [[Calculations]], [[Finance]]""","""Determined rate for training facility and staff upkeep."""
Full cost vs. marginal cost recovery approaches,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Marginal Cost]], [[Recovery]], [[Finance]]""","""Policy choice between recovering all costs vs. incremental costs."""
Internal transfer pricing mechanisms,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Cost Allocation & Recovery,"""[[Transfer Pricing]], [[Finance]], [[Inter-departmental]]""","""Specific rates for services moved within the organization."""
Internal vs. external resource ratio targets,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Staffing]], [[Outsourcing]], [[Ops]]""","""Target balance between FTE trainers and consultants."""
Contractor/consultant engagement limits,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Contractors]], [[Consultants]], [[Procurement]]""","""Caps on the use of outside personnel for training delivery."""
Shared resource allocation rules and priority systems,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Shared Resources]], [[Prioritization]], [[Ops]]""","""Hierarchy for using limited organizational training assets."""
Equipment and facility usage priorities,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Facility]], [[Equipment]], [[Implementation Phase]]""","""Scheduling rules for high-demand training spaces."""
Utilization rate targets or minimums,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Utilization]], [[Efficiency]], [[Ops]]""","""Efficiency metrics for trainer and facility load."""
Idle capacity treatment policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Resource Utilization & Efficiency,"""[[Capacity]], [[Efficiency]], [[Ops]]""","""Rules for managing underused training resources."""
Preferred vendor lists and sole-sourcing rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Vendors]], [[Sole Source]], [[Procurement]]""","""Policy governing which training vendors are pre-approved."""
Competitive bidding thresholds and RFP requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[RFP]], [[Bidding]], [[Procurement]]""","""Dollar amounts that trigger mandatory multi-vendor bids."""
Contract term limitations and renewal policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Contracts]], [[Renewals]], [[Procurement]]""","""Standard durations for training service agreements."""
Vendor diversity requirements and targets,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[DEI]], [[Vendors]], [[Procurement]]""","""Mandate to use diverse training suppliers."""
Payment terms and holdback provisions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Payment Terms]], [[Holdback]], [[Finance]]""","""Specific rules for when and how vendors are paid."""
Vendor performance monitoring and scorecard requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Scorecard]], [[Performance]], [[Vendors]]""","""Mandated metrics for evaluating 3rd-party training success."""
Vendor concentration limits,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Risk]], [[Vendor Lock-In]], [[Procurement]]""","""Rules to prevent over-reliance on a single training vendor."""
Make vs. buy decision frameworks,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Make vs Buy]], [[Strategy]], [[Procurement]]""","""Systematic criteria for choosing internal vs. custom dev."""
Volume discount negotiation requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Procurement & Vendor Management,"""[[Discounts]], [[Negotiation]], [[Finance]]""","""Mandate to seek scale-based savings in training contracts."""
Purchase order and invoice approval workflows,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Financial Controls & Compliance,"""[[PO]], [[Invoices]], [[Finance]]""","""Standard path for authorizing training payments."""
Expense documentation and receipt requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Financial Controls & Compliance,"""[[Documentation]], [[Receipts]], [[Finance]]""","""Audit standards for training-related travel and materials."""
Financial audit cooperation requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Financial Controls & Compliance,"""[[Audit]], [[Compliance]], [[Finance]]""","""Mandated support for internal and external L&D audits."""
Commitment accounting and encumbrance rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Financial Controls & Compliance,"""[[Encumbrance]], [[Accounting]], [[Finance]]""","""Rules for reserving training funds before they are spent."""
Instructor minimum qualification requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Qualifications]], [[Education]], [[Implementation Phase]]""","""Educational and experience floors for teaching roles."""
Subject matter expert (SME) designation criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[SME]], [[Expertise]], [[Analysis Phase]]""","""Rules defining who counts as a ""qualified"" expert."""
Trainer certification or credentialing mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Certification]], [[Credentialing]], [[Implementation Phase]]""","""Requirement for internal trainers to hold CPTD/CTT+."""
Instructional competency assessment requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Competency]], [[Assessment]], [[Ops]]""","""Periodic review of trainer teaching performance."""
Continuing education requirements for trainers,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Continuing Ed]], [[Upskilling]], [[Maintenance]]""","""Mandated hours of annual professional dev for L&D staff."""
Background check and security clearance requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Background Check]], [[Security]], [[Compliance]]""","""Verification needed before instructors can handle sensitive data."""
Language proficiency standards for instructors,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Qualifications & Standards,"""[[Language]], [[Fluency]], [[Localization]]""","""Minimum fluency scores for global training delivery."""
SME availability and time allocation rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[SME]], [[Capacity]], [[Planning Phase]]""","""Limits on how much ""day job"" time experts can spend in training."""
Instructional load limits,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[Load]], [[Burnout]], [[Implementation Phase]]""","""Maximum hours per week a trainer is allowed to facilitate."""
Instructor-to-learner ratio specifications by modality,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[Ratio]], [[ILT]], [[Design Phase]]""","""Mandated staffing levels for classroom vs. lab training."""
Adjunct/guest instructor limitations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[Adjunct]], [[Governance]], [[Procurement]]""","""Rules for hiring temporary or part-time facilitators."""
Internal rotation policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[Rotation]], [[Burnout]], [[Ops]]""","""Policy for cycling trainers through different roles."""
Conflict of interest restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Personnel Assignment & Workload,"""[[Ethics]], [[Conflict of Interest]], [[Governance]]""","""Restrictions on instructor-learner relationships."""
Position/role-based training prerequisites,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Prerequisites]], [[Role-Based]], [[Planning Phase]]""","""Requirement for specific job titles to access training."""
Tenure or seniority requirements for access,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Tenure]], [[Seniority]], [[Ops]]""","""Policy limiting training based on length of service."""
Geographic or business unit enrollment restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Enrollment]], [[Global]], [[Ops]]""","""Geographic limits on training availability."""
Performance rating thresholds for eligibility,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Performance]], [[Eligibility]], [[Ops]]""","""Limits on training access for low-performing employees."""
Manager approval requirements for enrollment,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Manager Approval]], [[Enrollment]], [[Governance]]""","""Requirement for supervisor sign-off before training begins."""
Waitlist prioritization criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Waitlist]], [[Prioritization]], [[Ops]]""","""Rules for filling seats in over-capacity sessions."""
Nomination vs. self-enrollment policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Enrollment]], [[Nomination]], [[Ops]]""","""Delineation between forced vs. optional training entry."""
Maximum enrollment caps per individual,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Eligibility & Selection,"""[[Caps]], [[Enrollment]], [[Ops]]""","""Limits on how many courses an employee can take per year."""
Technical prerequisite course completion requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Prerequisites & Readiness,"""[[Prerequisites]], [[Technical]], [[Design Phase]]""","""Mandatory ""gateway"" courses for advanced content."""
Competency or skill level entry requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Prerequisites & Readiness,"""[[Competency]], [[Readiness]], [[Analysis Phase]]""","""Minimum skill levels required for training participation."""
Technology access and literacy requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Prerequisites & Readiness,"""[[Digital Literacy]], [[Readiness]], [[Technology]]""","""Requirement for learners to have specific device/software skills."""
Physical or cognitive capability requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Prerequisites & Readiness,"""[[Capability]], [[Readiness]], [[Safety]]""","""Physical standards for hazardous or technical training."""
Pre-work or preparation completion mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learner Prerequisites & Readiness,"""[[Pre-work]], [[Readiness]], [[Implementation Phase]]""","""Rules regarding consequences for not completing prep material."""
Training time classification,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Work Time]], [[FLSA]], [[Compensation]]""","""Definition of when training is ""on the clock."""""
Billable hour impact rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Billable Hours]], [[Utilization]], [[Finance]]""","""Mechanisms for compensating billable staff during training."""
Mandatory vs. voluntary training designations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Mandatory]], [[Voluntary]], [[Governance]]""","""Specific criteria for classifying required education."""
Release time from regular duties policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Release Time]], [[Ops]], [[Governance]]""","""Rules for freeing staff from operational work for L&D."""
Overtime eligibility during training,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Overtime]], [[Compensation]], [[FLSA]]""","""Policy on paying extra for training hours exceed 40/week."""
Training during probationary periods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Probation]], [[Onboarding]], [[Governance]]""","""Rules for training new hires before final placement."""
Scheduling notice period requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Time Allocation & Scheduling,"""[[Notice Period]], [[Scheduling]], [[Ops]]""","""Minimum lead time required for announcing training sessions."""
Attendance requirements and absence policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation,"""[[Attendance]], [[Absence]], [[Governance]]""","""Rules for the minimum time in seat to receive credit."""
Tardy or early departure rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation,"""[[Tardiness]], [[Governance]], [[Ops]]""","""Defined consequences for arriving late or leaving early."""
Participation and engagement expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation,"""[[Engagement]], [[Participation]], [[Implementation Phase]]""","""Standards for learner activity during training."""
Device usage and distraction policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation,"""[[Devices]], [[Distraction]], [[Implementation Phase]]""","""Rules for phone/laptop use during live instruction."""
Recording and monitoring policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attendance & Participation,"""[[Recording]], [[Privacy]], [[Compliance]]""","""Notification and consent rules for taping training sessions."""
Training completion consequences (Promotion/Comp),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[Promotion]], [[Compensation]], [[Evaluation Phase]]""","""Linkages between L&D results and career advancement."""
Professional development hour (PDH) requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[PDH]], [[Credentials]], [[Maintenance]]""","""Mandated hours needed for internal career tracks."""
Career pathing and succession planning linkages,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[Career Pathing]], [[Succession]], [[Strategy]]""","""Training as a prerequisite for leadership pipelines."""
Performance improvement plan (PIP) mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[PIP]], [[Remediation]], [[HR]]""","""Training required as part of a formal performance correction."""
Individual development plan (IDP) integration,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[IDP]], [[Personalization]], [[Strategy]]""","""Policy for mapping training to personal employee goals."""
High-potential or leadership pipeline access,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[HiPo]], [[Leadership]], [[Ops]]""","""Criteria for selecting learners for elite training tracks."""
Post-training application and transfer requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[Learning Transfer]], [[Implementation Phase]], [[Evaluation Phase]]""","""Mandate for learners to prove skill use on the job."""
Manager follow-up and reinforcement expectations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Career Management Integration,"""[[Reinforcement]], [[Manager]], [[Implementation Phase]]""","""Requirement for supervisors to coach learners after class."""
Training stipend or allowance policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Stipend]], [[Compensation]], [[Finance]]""","""Payments made to employees for attending extra training."""
Certification bonus or pay increase triggers,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Bonus]], [[Certification]], [[Finance]]""","""Automated pay raises linked to training achievements."""
Tuition reimbursement eligibility and caps,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Tuition]], [[Reimbursement]], [[Benefits]]""","""Policy governing organization-paid college or external certs."""
Travel and lodging per diem rates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Travel]], [[Per Diem]], [[Finance]]""","""Standard reimbursement amounts for training trips."""
Meal and refreshment provision policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Meals]], [[Logistics]], [[Finance]]""","""Rules regarding when the company pays for training food."""
Training-related expense reimbursement rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Expenses]], [[Finance]], [[Ops]]""","""Specific list of allowable training-related hardware/books."""
Service commitment or payback agreements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Compensation & Incentives,"""[[Payback]], [[Retention]], [[Legal]]""","""Contract requiring employees to stay or repay training costs."""
Work-for-hire vs. retained rights determinations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Work-for-Hire]], [[IP]], [[Development Phase]]""","""Legal policy defining who owns developer-created content."""
Employee-created content ownership,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Ownership]], [[IP]], [[Development Phase]]""","""Rules for content created by staff during/after hours."""
Contractor-developed materials ownership transfer,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Contractors]], [[IP]], [[Procurement]]""","""Clauses ensuring organizational ownership of vendor work."""
Joint development ownership allocation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Joint IP]], [[Collaboration]], [[IP]]""","""Rules for splitting IP when two departments co-create."""
Commissioned work ownership transfer requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Commissioned]], [[IP]], [[Procurement]]""","""Documentation mandates for non-employee creation."""
Pre-existing materials incorporation rights,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Background IP]], [[IP]], [[Development Phase]]""","""License rules for using old assets in new training."""
Improvements and derivatives ownership,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Ownership,"""[[Derivatives]], [[IP]], [[Development Phase]]""","""Policy defining ownership of ""remixed"" training content."""
Licensed content usage scope and limitations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Third-Party Content,"""[[Licensing]], [[3rd Party]], [[Compliance]]""","""Limits on using rented content (e.g., LinkedIn Learning)."""
Open educational resource (OER) usage and attribution,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Third-Party Content,"""[[OER]], [[Attribution]], [[Development Phase]]""","""Standard rules for using Creative Commons materials."""
Fair use guidelines and limitations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Third-Party Content,"""[[Fair Use]], [[Copyright]], [[Legal]]""","""Internal interpretation of fair use for instructional data."""
Stock media licensing requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Third-Party Content,"""[[Stock Media]], [[Licensing]], [[Development Phase]]""","""Policy for purchasing and tracking image/video rights."""
User-generated content ownership and rights,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Third-Party Content,"""[[UGC]], [[Social Learning]], [[IP]]""","""Rights status of content posted by learners in forums."""
Internal content sharing rights,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Sharing]], [[Inter-departmental]], [[Ops]]""","""Rules for using one department's training in another."""
External distribution restrictions and approvals,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[External]], [[Approval]], [[Marketing]]""","""Limits on sharing internal training with the public."""
Derivative works creation permissions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Remix]], [[Modifications]], [[Development Phase]]""","""Authority levels required to change existing materials."""
White-labeling and co-branding restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Branding]], [[White-Label]], [[Vendors]]""","""Policy for removing vendor logos from training."""
Translation and localization rights and approval,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Translation]], [[Global]], [[Development Phase]]""","""Authority to change content for different languages."""
Content repurposing limitations,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Repurposing]], [[Marketing]], [[Ops]]""","""Limits on using training video for sales/marketing."""
Archival rights and long-term preservation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Modification & Distribution,"""[[Archiving]], [[Retention]], [[Maintenance]]""","""Standards for keeping old versions of training content."""
Authorship recognition requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attribution & Recognition,"""[[Authorship]], [[Recognition]], [[Ops]]""","""Policy for giving credit to instructional designers."""
SME acknowledgment protocols,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attribution & Recognition,"""[[SME]], [[Recognition]], [[Governance]]""","""Standards for identifying subject matter experts in content."""
Third-party source citation mandates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attribution & Recognition,"""[[Citation]], [[Copyright]], [[Development Phase]]""","""Required format for attributing outside data sources."""
Institutional branding and logo usage requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attribution & Recognition,"""[[Branding]], [[Logo]], [[Design Phase]]""","""Specific rules for placing company logos on slides/PDFs."""
Version authorship tracking requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Attribution & Recognition,"""[[Version Control]], [[Authorship]], [[Maintenance]]""","""Mandate to record who changed what in each revision."""
External sale or licensing restrictions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Monetization,"""[[Monetization]], [[Licensing]], [[Strategy]]""","""Policy regarding the commercial sale of internal L&D."""
Revenue sharing arrangements for commercialized content,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Monetization,"""[[Revenue]], [[Finance]], [[Contracts]]""","""Splitting profits from training sold to third parties."""
Intellectual property disclosure requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Monetization,"""[[Disclosure]], [[IP]], [[Legal]]""","""Mandate for L&D to report potentially patentable inventions."""
Patent or trademark application processes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Monetization,"""[[Patent]], [[Trademark]], [[Legal]]""","""Procedural steps for training innovations protection."""
Non-compete implications of content ownership,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Content Monetization,"""[[Non-Compete]], [[Legal]], [[HR]]""","""Legal limits on developers using content elsewhere."""
